id,lat,lon,type,name,snap_id
411923567,10.7916328,106.7044385,network_grid,,411923567
411923568,10.7915198,106.704315,network_grid,,411923568
411923569,10.7912312,106.7041807,network_grid,,411923569
411923570,10.7918659,106.7050526,network_grid,,411923570
411923584,10.7925104,106.7014351,network_grid,,411923584
411923589,10.7900597,106.7010996,network_grid,,411923589
411923629,10.7895785,106.6913984,network_grid,,411923629
411923755,10.7648639,106.6883082,network_grid,,411923755
411924158,10.7691351,106.6871325,network_grid,,411924158
411924866,10.77135,106.6915395,network_grid,,411924866
411924900,10.7597381,106.6847069,network_grid,,411924900
411925037,10.7641723,106.6961338,network_grid,,411925037
411925045,10.766033,106.6945641,network_grid,,411925045
411925046,10.7661564,106.6949677,network_grid,,411925046
411925089,10.7655737,106.6956108,network_grid,,411925089
411925290,10.7935503,106.6870752,network_grid,,411925290
411925307,10.7720824,106.6923274,network_grid,,411925307
411925309,10.7911731,106.693844,network_grid,,411925309
411925400,10.7939515,106.6883853,network_grid,,411925400
411925415,10.7909776,106.69301,network_grid,,411925415
411925417,10.7914841,106.6935069,network_grid,,411925417
411925425,10.789409,106.6909832,network_grid,,411925425
411925428,10.7906481,106.6933582,network_grid,,411925428
411925445,10.7680964,106.7007414,network_grid,,411925445
411925599,10.7669467,106.6994133,network_grid,,411925599
411925603,10.7680176,106.6984201,network_grid,,411925603
411925607,10.768921,106.6976004,network_grid,,411925607
411925891,10.7900834,106.6991415,network_grid,,411925891
411925893,10.7891062,106.7001939,network_grid,,411925893
411925901,10.791062,106.6911349,network_grid,,411925901
411925934,10.7781081,106.7047964,network_grid,,411925934
411925935,10.784656,106.6978569,network_grid,,411925935
411925936,10.7855174,106.6986683,network_grid,,411925936
411925937,10.7736801,106.7056516,network_grid,,411925937
411925939,10.7783352,106.7045538,network_grid,,411925939
411925940,10.7788759,106.7050579,network_grid,,411925940
411925945,10.7818313,106.7045966,network_grid,,411925945
411925950,10.7872537,106.7050041,network_grid,,411925950
411925954,10.7826605,106.7017473,network_grid,,411925954
411925956,10.7813583,106.7053602,network_grid,,411925956
411925958,10.7779066,106.7061554,snap_poi,Bảo tàng Tôn Đức Thắng,411925958
411925962,10.7761461,106.7055219,network_grid,,411925962
411925963,10.7918359,106.6958631,network_grid,,411925963
411925967,10.7897832,106.6938219,network_grid,,411925967
411925979,10.7894816,106.6966359,network_grid,,411925979
411925981,10.7915737,106.6986819,network_grid,,411925981
411925982,10.7903362,106.6965272,network_grid,,411925982
411925984,10.7904945,106.7015127,network_grid,,411925984
411925985,10.7886056,106.7035437,network_grid,,411925985
411925987,10.78457,106.6996774,network_grid,,411925987
411925988,10.7885752,106.6977273,network_grid,,411925988
411925989,10.7926663,106.6967184,network_grid,,411925989
411925992,10.7890472,106.6972026,network_grid,,411925992
411925996,10.7911563,106.6966416,network_grid,,411925996
411926001,10.7737053,106.6994435,network_grid,,411926001
411926010,10.775427,106.7048401,network_grid,,411926010
411926012,10.7928217,106.6912726,network_grid,,411926012
411926019,10.7919098,106.6914925,network_grid,,411926019
411926021,10.7917238,106.6932665,network_grid,,411926021
411926022,10.7905308,106.692228,network_grid,,411926022
411926028,10.791466,106.7004476,network_grid,,411926028
411926029,10.7905173,106.6945471,network_grid,,411926029
411926034,10.7823516,106.7004492,network_grid,,411926034
411926037,10.7816326,106.7055963,network_grid,,411926037
411926038,10.7810366,106.7064292,network_grid,,411926038
411926043,10.7805129,106.7069926,network_grid,,411926043
411926055,10.772146,106.6944476,network_grid,,411926055
411926058,10.7729591,106.6935515,network_grid,,411926058
411926065,10.7748182,106.6961505,network_grid,,411926065
411926068,10.7704049,106.7009907,network_grid,,411926068
411926069,10.7704406,106.6993107,network_grid,,411926069
411926070,10.7721929,106.6975561,network_grid,,411926070
411926072,10.7587531,106.6924052,network_grid,,411926072
411926092,10.7542086,106.6871211,network_grid,,411926092
411926098,10.7673972,106.688504,network_grid,,411926098
411926106,10.7650042,106.6875984,network_grid,,411926106
411926140,10.7916682,106.6898524,network_grid,,411926140
411926153,10.7732753,106.7031739,network_grid,,411926153
411926157,10.7772405,106.7018045,network_grid,,411926157
411926158,10.773838,106.7036705,network_grid,,411926158
411926174,10.7682965,106.6968883,network_grid,,411926174
411926178,10.7823083,106.7040685,network_grid,,411926178
411926179,10.7623653,106.6940365,network_grid,,411926179
411926193,10.763365,106.6870194,network_grid,,411926193
411926196,10.7728438,106.702606,network_grid,,411926196
411926197,10.7723028,106.7018947,network_grid,,411926197
411926201,10.7791894,106.7001527,network_grid,,411926201
411926202,10.793059,106.6896267,network_grid,,411926202
411926209,10.7635148,106.6931694,network_grid,,411926209
411926221,10.7690648,106.7041995,network_grid,,411926221
411926232,10.7925414,106.6897163,network_grid,,411926232
411926237,10.7931702,106.6873607,network_grid,,411926237
411926238,10.7936875,106.6869566,network_grid,,411926238
411926241,10.7913566,106.6880247,network_grid,,411926241
411926243,10.7696265,106.7030192,network_grid,,411926243
411926245,10.7699703,106.7038154,network_grid,,411926245
411926247,10.7691427,106.7019437,network_grid,,411926247
411926265,10.7899509,106.6961459,network_grid,,411926265
411926271,10.7700336,106.6861222,network_grid,,411926271
411926369,10.7670008,106.6959402,network_grid,,411926369
411926370,10.7677437,106.6971334,network_grid,,411926370
411926372,10.7916675,106.6919592,network_grid,,411926372
411926373,10.7908731,106.6915293,network_grid,,411926373
411926378,10.7773934,106.7041193,network_grid,,411926378
411926380,10.7779522,106.7010349,network_grid,,411926380
411926390,10.7724371,106.6948699,network_grid,,411926390
411926393,10.7765349,106.7050971,network_grid,,411926393
411926407,10.7718636,106.7039118,network_grid,,411926407
411926412,10.7748371,106.6981499,network_grid,,411926412
411926429,10.7728506,106.6971681,network_grid,,411926429
411926436,10.7671388,106.6974183,network_grid,,411926436
411926437,10.7720998,106.696004,network_grid,,411926437
411926438,10.7731556,106.6976491,network_grid,,411926438
411926446,10.7873909,106.6966403,network_grid,,411926446
411926453,10.791006,106.6981229,network_grid,,411926453
411926455,10.7732605,106.7014575,network_grid,,411926455
411926457,10.7865655,106.6957919,network_grid,,411926457
411926458,10.790659,106.6996967,network_grid,,411926458
411926483,10.7686677,106.6932877,network_grid,,411926483
411926498,10.7792329,106.7035889,network_grid,,411926498
411926503,10.7648363,106.6925294,network_grid,,411926503
411926505,10.7734407,106.6981058,network_grid,,411926505
411926516,10.7706904,106.7012764,network_grid,,411926516
411926524,10.7915964,106.6962001,network_grid,,411926524
411926527,10.7698536,106.6977441,network_grid,,411926527
411926533,10.7685425,106.6971744,network_grid,,411926533
411926537,10.7740726,106.6990186,network_grid,,411926537
411926538,10.7855867,106.6968504,network_grid,,411926538
411926545,10.7746638,106.6995694,network_grid,,411926545
411926547,10.7814762,106.6996356,network_grid,,411926547
411926577,10.7684134,106.6988516,network_grid,,411926577
